,uid,has_photo,sex,has_mobile,followers_count,contacts,relatives,relation,personal,activities,music,movies,tv,books,about,quotes,albums,audios,followers,friends,pages,photos,subscriptions,videos,clips_followers,age,city,country,avg_cl,trans,deg_centr,average_neighbor_degree,average_degree_connectivity,k_nearest_neighbors,degree_centrality,closeness_centrality,betweenness_centrality,diameter,average_shortest_path_length,target
0,648249344,0,2,1.0,0.0,0,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,648249344.0,0.0,0.0,1.0,0.0,0.0,0,0,0
1,645333001,1,2,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0.0,58.0,2.0,14.0,17.0,3.0,0.0,0.0,16.0,26.0,0.0,0.0,0.719047619047619,0.3541666666666667,0.2571428571428571,261239280.46666667,7.508862433862434,7.508862433862434,0.2571428571428571,0.5884007597340931,0.0571428571428571,2,1,0
2,651165709,1,2,1.0,9.0,0,1,1,1,1,1,1,1,1,1,1,0.0,15.0,9.0,130.0,1086.0,3.0,15.0,2.0,139.0,40.0,154.0,1.0,0.4453221241774377,0.0958780627714496,0.0385005065856129,402396076.6099291,34.9124252064203,34.9124252064203,0.0385005065856129,0.5116613786785068,0.0069172625425495,2,1,0
3,649232401,1,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,9.0,89.0,0.0,0.0,0.0,0.0,24.0,0.0,1.0,0.0,0.0,1.0,649232401.0,0.0,0.0,1.0,0.0,0.0,0,0,0
4,639664147,0,1,1.0,1.0,0,1,1,1,1,1,1,1,1,1,1,0.0,0.0,1.0,24.0,34.0,0.0,0.0,0.0,25.0,59.0,0.0,0.0,0.7265706757011103,0.4461305007587253,0.26,345678013.12,10.625206611570247,10.625206611570247,0.26,0.5844215697518127,0.0321739130434782,2,1,0
5,651264025,1,1,1.0,137.0,0,1,1,1,1,1,1,1,1,1,1,0.0,14.0,137.0,288.0,9.0,9.0,5.0,12.0,425.0,0.0,154.0,1.0,0.732308846937871,0.7014625246353444,0.4723552830469864,618039750.8371335,186.03671173619583,186.03671173619583,0.4723552830469864,0.6702851228857287,0.0017299826785344,2,1,0
6,644513821,1,2,0.0,4.0,0,1,1,1,1,1,1,1,1,1,1,0.0,0.0,4.0,77.0,32.0,9.0,10.0,1.0,81.0,24.0,1.0,1.0,0.6822715628262698,0.1446319302799925,0.0809190809190809,544739157.1923077,27.14123704998705,27.14123704998705,0.0809190809190809,0.5253470677704656,0.0120931699879068,2,1,0
7,650543134,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,650543134.0,0.0,0.0,1.0,0.0,0.0,0,0,0
8,649297952,1,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,34.0,52.0,0.0,4.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,649297952.0,0.0,0.0,1.0,0.0,0.0,0,0,0
9,651853859,0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,651853859.0,0.0,0.0,1.0,0.0,0.0,0,0,0
