uid,has_photo,sex,has_mobile,followers_count,contacts,relatives,relation,personal,activities,music,movies,tv,books,about,quotes,albums,audios,followers,friends,pages,photos,subscriptions,videos,clips_followers,age,city,country
648249344,0,2,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,21,,
645333001,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,58,2,14,17,3,0,0,16,26,,
651165709,1,2,1,9,0,1,1,1,1,1,1,1,1,1,1,0,15,9,130,1086,3,15,2,139,40,154,1
649232401,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,89,,0,0,,24,,1
639664147,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,24,34,0,0,0,25,59,,
651264025,1,1,1,137,0,1,1,1,1,1,1,1,1,1,1,0,14,137,288,9,9,5,12,425,,154,1
644513821,1,2,0,4,0,1,1,1,1,1,1,1,1,1,1,0,0,4,77,32,9,10,1,81,24,1,1
650543134,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
649297952,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,34,52,,4,0,,15,,
651853859,0,2,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
650018851,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,6,1,59,7,21,0,3,60,,1,1
644055075,0,2,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
649429034,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
651755565,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
650379310,1,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,57,140,,0,0,,27,,1
646709294,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
650608690,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,0,2,60,3,19,0,3,62,,1,1
648511538,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
642121781,1,2,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,10,7,1,0,0,10,,4797,1
640450615,0,2,1,0,0,1,1,1,1,1,1,1,1,1,1,0,16,0,0,33,0,0,0,0,25,,
651296828,0,2,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,5,0,0,0,1,15,,
642842685,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
649232451,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
652050508,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,25,21,1,0,0,26,14,,
646381646,1,2,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,22,28,12,3,0,22,35,26,1
652542031,0,2,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,9,0,1,0,1,30,1958117,76
651067477,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,31,75,1,6,0,31,54,41,1
640614487,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
641957978,1,1,1,1227,0,1,1,1,1,1,1,1,1,1,1,0,0,1227,60,389,50,0,0,1287,,,1
650838118,0,2,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
640778343,1,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,68,,0,0,,31,,
643629164,0,2,1,41,0,1,1,1,1,1,1,1,1,1,1,0,0,41,76,31,0,21,0,117,21,2,1
643956845,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
651296888,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
650543224,1,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,37,,0,0,,76,21166,11
649298042,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
647528570,1,2,1,8,0,1,1,1,1,1,1,1,1,1,1,0,89,8,6,24,6,37,0,14,27,2,1
646938745,0,2,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,4,5,0,0,0,4,66,,
645005433,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,2,15,1,1,0,2,22,104,1
642089084,0,2,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
